Experimento,questao,acerto
01,02,True
02,02,False
03,02,True
04,02,False
05,02,True
06,02,False
07,02,True
01,03,False
02,03,False
03,03,True
04,03,True
05,03,True
06,03,False
07,03,True
01,04,False
02,04,False
03,04,False
04,04,False
05,04,False
06,04,False
07,04,False
01,05,True
02,05,False
03,05,False
04,05,False
05,05,False
06,05,False
07,05,False
01,06,True
02,06,True
03,06,False
04,06,True
05,06,True
06,06,True
07,06,False
01,07,False
02,07,False
03,07,True
04,07,False
05,07,False
06,07,False
07,07,False
01,08,True
02,08,True
03,08,False
04,08,True
05,08,False
06,08,False
07,08,False
01,09,True
02,09,False
03,09,True
04,09,False
05,09,True
06,09,False
07,09,False
01,10,False
02,10,False
03,10,True
04,10,False
05,10,False
06,10,False
07,10,False
01,11,True
02,11,True
03,11,True
04,11,False
05,11,False
06,11,False
07,11,False
01,12,False
02,12,True
03,12,True
04,12,False
05,12,True
06,12,False
07,12,False
01,13,False
02,13,False
03,13,False
04,13,True
05,13,True
06,13,False
07,13,True
