,Experimento 01,Experimento 02,Experimento 03,Experimento 04,Experimento 05,Experimento 06,Experimento 07
01,[],[],[],[],[],[],[]
02,"[('var_dec+atrib', 1561062), ('method_call', 88964), ('loop', 28619)]","[('method_call', 81839), ('var_dec+atrib', 57190), ('loop', 26969)]","[('var_dec+atrib', 35019), ('method_call', 27055), ('method_dec', 12571)]","[('var_dec+atrib', 85060), ('method_call', 74774), ('loop', 11758)]","[('var_dec+atrib', 98650), ('method_call', 27300), ('loop', 15988)]","[('var_dec+atrib', 56105), ('method_call', 30425), ('method_dec', 13034)]","[('method_call', 16960), ('var_dec+atrib', 11759), ('out', 6585)]"
03,"[('var_atrib', 26460), ('method_dec', 16177), ('return', 10115)]","[('var_atrib', 146750), ('method_dec', 39752), ('class_dec', 11908)]","[('var_atrib', 7170), ('return', 4787), ('method_dec', 2661)]","[('var_atrib', 26940), ('out', 16382), ('method_dec', 15013)]","[('return', 6140), ('var_atrib', 3904), ('var_dec', 1642)]","[('var_atrib', 12707), ('method_dec', 8687), ('class_dec', 5224)]","[('method_dec', 9394), ('return', 2250), ('var_atrib', 230)]"
04,"[('var_dec+atrib', 93712), ('return', 13237), ('out', 7346)]","[('out', 90759), ('var_dec+atrib', 52338), ('method_dec', 4425)]","[('var_dec+atrib', 26516), ('out', 14495), ('method_dec', 4503)]","[('var_dec+atrib', 47087), ('out', 27131), ('method_dec', 12986)]","[('out', 15897), ('var_dec+atrib', 9914), ('return', 2169)]","[('var_dec+atrib', 64293), ('method_dec', 22795), ('out', 10699)]","[('var_dec+atrib', 7866), ('method_dec', 1275), ('out', 0)]"
05,"[('conditional', 29199), ('comment', 23768), ('var_dec+atrib', 13678)]","[('conditional', 89486), ('comment', 60446), ('method_call', 21537)]","[('method_call', 24695), ('return', 22859), ('comment', 21441)]","[('comment', 35347), ('method_dec', 32640), ('return', 27943)]","[('out', 44021), ('conditional', 23947), ('return', 14507)]","[('conditional', 57138), ('return', 20601), ('method_dec', 18932)]","[('comment', 10717), ('var_dec+atrib', 2197), ('method_call', 1233)]"
06,"[('loop', 27752), ('var_atrib', 10017), ('return', 9294)]","[('out', 52470), ('return', 18300), ('var_dec+atrib', 15258)]","[('loop', 6974), ('method_dec', 4649), ('var_atrib', 3323)]","[('loop', 37332), ('out', 26830), ('var_atrib', 15517)]","[('annotation', 7422), ('loop', 6834), ('inc', 5944)]","[('method_dec', 45651), ('loop', 34839), ('annotation', 16023)]","[('loop', 9789), ('var_atrib', 5851), ('comment', 1560)]"
07,"[('method_dec', 21828), ('return', 20671), ('out', 6043)]","[('method_dec', 21477), ('class_dec', 7838), ('return', 4353)]","[('return', 32212), ('method_dec', 23674), ('comment', 7174)]","[('return', 32407), ('method_dec', 20994), ('out', 20757)]","[('method_dec', 19405), ('class_dec', 5721), ('out', 4867)]","[('method_dec', 12979), ('return', 10708), ('comment', 10126)]","[('method_dec', 4966), ('return', 470), ('out', 0)]"
08,"[('return', 10154), ('annotation', 9169), ('method_dec', 7264)]","[('return', 74690), ('method_dec', 39116), ('class_dec', 12117)]","[('return', 55828), ('method_dec', 36672), ('class_dec', 22293)]","[('return', 33658), ('out', 14906), ('annotation', 9165)]","[('out', 32013), ('return', 16331), ('method_dec', 8811)]",,"[('method_dec', 2994), ('return', 2627), ('class_dec', 281)]"
09,"[('var_dec+atrib', 15904), ('exception', 6120), ('method_call', 5320)]","[('out', 78499), ('var_dec+atrib', 25175), ('conditional', 14181)]","[('var_dec+atrib', 65004), ('conditional', 10161), ('method_dec', 9758)]","[('var_dec+atrib', 48294), ('out', 17518), ('conditional', 17272)]","[('var_dec+atrib', 77357), ('conditional', 21003), ('var_atrib', 10424)]","[('out', 5985), ('conditional', 2710), ('var_dec+atrib', 1689)]","[('var_atrib', 21572), ('var_dec+atrib', 9452), ('method_call', 2313)]"
10,"[('method_call', 27410), ('var_atrib', 12799), ('out', 3507)]","[('method_call', 34927), ('out', 31848), ('var_atrib', 10549)]","[('method_call', 26064), ('var_atrib', 19540), ('class_dec', 7872)]","[('method_call', 30539), ('out', 27198), ('var_atrib', 26394)]","[('out', 56731), ('var_atrib', 45475), ('method_call', 35696)]",,"[('method_call', 22187), ('var_atrib', 3561), ('out', 1446)]"
